,location,In_autonomy,Description
288,Shoreline Blvd. at El Camino Real,1,"A Waymo Autonomous Vehicle (“Waymo AV”) in autonomous mode was yielding to check for cross traffic while in the slip lane to turn from southbound Shoreline Boulevard to westbound El Camino Real in Mountain View when it was rear-ended by a passenger vehicle at approximately 5 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle had minor damage to its front bumper. The two Waymo AV operators reported neck/back pain but declined medical attention at the scene."
289,Whisman Station Drive at S. Whisman Road,1,"A Waymo Autonomous Vehicle (“Waymo AV”) in autonomous mode was yielding to check for cross traffic while in the slip lane to turn from northbound Whisman Station Drive to southbound S. Whisman Road in Mountain View when it was rear-ended by a passenger vehicle at approximately 7 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle had minor damage to its front bumper. There were no injuries reported at the scene."
290,San Antonio Road at Charleston Road,1,"A Waymo Autonomous Vehicle (“Waymo AV”) in autonomous mode was stopped in traffic while in the leftmost lane on southbound San Antonio Road headed toward Charleston Road in Palo Alto when it was rear-ended by a passenger vehicle maneuvering into the Waymo AV’s lane at approximately less than 1 MPH. The Waymo AV sustained minor scratches to its rear sensor, and the passenger vehicle left the scene. There were no injuries reported at the scene."
296,Alma Street at Oregon Expressway,1,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode on the off-ramp from westbound Alma Street to southbound Oregon Expressway in Palo Alto when it was rear-ended. The Waymo AV was yielding to cross-traffic when a passenger vehicle made contact with the Waymo AV’s rear bumper at approximately 5 MPH. The Waymo AV sustained minor damage to the rear bumper, and the passenger vehicle left the scene without stopping or exchanging information. The Waymo AV driver complained of neck, back, and nose pain and was treated at the scene by emergency responders."
298,Brannan Street at Division Street,1,"A Waymo Autonomous Vehicle (“Waymo AV”) was traveling in autonomous mode at the intersection of Brannan Street and Division Street in San Francisco when it was involved in a collision. The Waymo AV was stopped in traffic for a red traffic light on southbound Brannan Street at Division Street when a passenger vehicle behind the Waymo AV made contact with the Waymo AV’s rear bumper at approximately less than 1 MPH. The Waymo AV was stationary. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle left the scene before exchanging information. No injuries were reported at the scene."
299,3023 21st Street,1,"A Waymo Autonomous Vehicle (“Waymo AV”) was traveling in autonomous mode on westbound 21st Street heading toward Shotwell Street in San Francisco when it was involved in a collision. The Waymo AV was stopped behind a passenger vehicle that was double-parked and also was yielding to an oncoming passenger vehicle traveling eastbound on 21st Street. As the oncoming passenger vehicle approached the Waymo AV, it made contact with the Waymo AV’s front bumper at approximately 4 MPH. The Waymo AV was stationary. The Waymo AV sustained minor damage to its front bumper. The passenger vehicle sustained minor damage to its front bumper. No injuries were reported at the scene."
300,355 Bayshore Blvd,1,"On July 1, 2022 at 10:08 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a van in a parking lot near Bayshore Boulevard at Flower Street.The Waymo AV came to a stop while yielding for an oncoming van in a narrow passageway in a parking lot. While attempting to pass the Waymo AV, the van made contact with the sensor housing on the left rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was stationary and engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained minor damage."
301,Escuela Avenue and El Camino Real,1,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode on southbound Escuela Avenue at El Camino Real in Mountain View when it was side-swiped. The Waymo AV was stopped in traffic at a red light when a passenger vehicle attempted to pass the Waymo AV on the right, and made contact with a sensor on the Waymo AV’s passenger side front fender at approximately 1 MPH. The Waymo AV’s sensor housing sustained a minor scratch, and the passenger vehicle sustained a minor scratch to its driver side mirror. There were no injuries reported at the scene."
303,Bush Street and Grant Avenue,1,"A Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle at Bush Street and Grant Avenue. The Waymo AV was stopped in traffic while in autonomous mode when the passenger vehicle approached from behind while changing lanes. The passenger vehicle struck the rear of the stopped Waymo AV traveling at 5.5 miles per hour and left the scene. The left rear bumper of the Waymo AV sustained minor damage."
305,"2500 Block, Clement St",1,"On July 14, 2021 at 4:47 PM PDT, a Waymo Autonomous Vehicle (“Waymo AV”) was proceeding straight westbound on Clement Street in San Francisco, when a passenger vehicle struck the Waymo AV from behind two times. The passenger vehicle then struck the Waymo AV a third time, on the left side of the Waymo AV, as it passed on the left, then immediately fled the scene. The San Francisco Police Department is investigating the event as a criminal act. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position)."
310,Alma Street at Oregon Expressway,1,"A Waymo Autonomous Vehicle (“Waymo AV”) was in autonomous mode on the off-ramp from eastbound Alma Street to southbound Oregon Expressway in Palo Alto when it was rear-ended. The Waymo AV was traveling approximately less than 1 MPH and yielding to cross-traffic when a passenger vehicle made contact with the Waymo AV’s rear bumper at approximately 5 MPH. The Waymo AV sustained minor damage to the rear bumper, and the passenger vehicle sustained minor damage to its front bumper. There were no injuries reported at the scene."
311,N. Shoreline Boulevard at W. Middlefield Road,1,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode on southbound N. Shoreline Boulevard at W. Middlefield Road in Mountain View when a bicyclist made contact with the side of the Waymo AV. The Waymo AV was traveling in the far right lane on N. Shoreline Boulevard and slowing for a red light at W. Middlefield Road, when a bicyclist began to cross all lanes of traffic from the east side of N. Shoreline Boulevard to the west side of the boulevard, in a diagonal manner, against the flow of traffic. As the bicyclist approached the Waymo AV, the Waymo AV began braking for the bicyclist. As the Waymo AV came to a stop, the bicyclist then made contact with the driver’s side rear quarter panel of the Waymo AV at approximately 8 MPH. The Waymo AV sustained minor scratches to the driver’s side rear taillight, and the bicyclist, remaining upright, appeared to sustain no damage or injuries as they cycled away from the scene without exchanging information."
312,Market Street & Clayton Street,1,"On August 10, 2022 at 5:05 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on Clayton Street at Market Street.While approaching a merge onto southbound Market Street from southbound Clayton Street, the Waymo AV came to a stop to yield for approaching traffic on the left. While the Waymo AV was stopped, an SUV approached from behind and made contact with the rear bumper of the Waymo AV.  At the time of the impact, the Waymo AV’s Level 4 ADS was engaged. Both vehicles sustained minor damage."
313,S. Rengstorff Avenue at Crisanto Avenue,1,"A Waymo Autonomous Vehicle (“Waymo AV”) was in autonomous mode on northbound S. Rengstorff Avenue at Crisanto Avenue in Mountain View when it was rear-ended. After starting to proceed following a red-to-green traffic light change, the Waymo AV yielded to a bicyclist who merged from the bike lane into the Waymo AV’s travel lane, and a passenger vehicle then made contact with the rear bumper of the Waymo AV. The passenger vehicle was traveling at approximately 8 MPH, and the Waymo AV was traveling at approximately 3 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. There were no injuries reported at the scene."
315,106 Noe Street,1,"On August 13, 2022 at 03:09 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving an SUV on 14th Street at Noe Street. The Waymo AV was traveling eastbound on 14th Street in autonomous mode when it slowed for a stop sign on Noe Street. As the Waymo AV slowed to almost a complete stop, an SUV made contact with the rear of the Waymo AV. Both vehicles sustained damage.At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position)."
317,14th Street at Market Street,1,"On August 14th, 2022 at 6:08 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on 14th Street at Market Street. The Waymo AV was stopped in traffic in the left-hand lane of 14th Street, facing East. The passenger car that had been stopped behind the Waymo AV began moving forward. The front of the passenger car made contact with the rear of the Waymo AV. When the light turned green and traffic began moving, the passenger car left the scene. The Waymo AV sustained minor damage.At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position)."
318,Martin Luther King Jr. Drive at 25th Avenue,1,"On August 16th, 2022 at 3:52 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a SUV on Martin Luther King Jr. Drive at 25th Avenue.The Waymo AV was traveling West on Martin Luther King Jr. Drive and stopped at the stop sign at the intersection with 25th Avenue. As the Waymo AV slowed to a stop, a SUV traveling in the opposite lane, East on Martin Luther King Jr. Drive, crossed the intersection with 25th Avenue and came to a stop in the opposite lane, next to the Waymo AV. After stopping, the SUV began moving again and the front left corner of the SUV made contact with the left side of the Waymo AV. The SUV then left the scene. The Waymo AV sustained minor damage.At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position)."
319,Broadway at Sansome Street,1,"On August 16th, 2022 at 9:12 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Broadway at Sansome Street.The Waymo AV was stopped behind a bus in the right lane, facing East on Broadway. The passenger car that had been stopped behind the Waymo AV began moving forward. The front of the passenger car made contact with the rear of the Waymo AV. The Waymo AV sustained minor damage.At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode."
321,Presidio Avenue and Bush Street,1,"A Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle at Presidio Avenue and Bush Street. The Waymo AV was stopped at a red light in autonomous mode when the passenger vehicle behind the AV made contact with the rear of the Waymo vehicle. The Waymo AV sustained minor damage to the rear bumper. The passenger vehicle appeared to sustain minor scuffing or no damage."
322,4800 El Camino Real,1,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode in a grocery store parking lot in Los Altos when a passenger vehicle reversed into it. Three passengers were exiting the Waymo AV when the passenger vehicle in the right adjacent parking spot began to reverse out of the parking spot and made contact with the Waymo AV’s passenger side rear quarter panel at approximately 1 MPH. The Waymo AV sustained minor damage to its passenger side sliding rear door and rear quarter panel, and the passenger vehicle sustained minor damage to its rear bumper. No injuries were reported."
323,John F. Kennedy Drive at Stanyayn Street,1,"On October 1, 2021 at 3:51 PM PDT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV at John F. Kennedy Drive at Stanyan Street. The Waymo AV was traveling in autonomous mode westbound on Fell Street / John F. Kennedy Drive when it stopped for pedestrians who were in a crosswalk and between the westbound and eastbound lanes of John F. Kennedy Drive. An SUV following behind the Waymo AV struck the rear of the Waymo AV. The Waymo AV sustained minor damage to its rear bumper and trunk, and the SUV sustained minor damage to its front bumper and hood. The Waymo AV test driver later reported lower back pain."
324,Rengstorff Avenue at Central Expressway,1,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode in traffic at a red light on southbound Rengstorff Avenue at Central Expressway in Mountain View when it was rear-ended by a passenger vehicle. The passenger vehicle made contact with the Waymo AV’s rear bumper at approximately 1 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported."
325,Cuesta Drive at S. San Antonio Road,1,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode on westbound Cuesta Drive at S. San Antonio Road in Los Altos when it was rear-ended.  The Waymo AV was preparing to make a right-on-red from Cuesta Drive onto northbound S. San Antonio Road and was yielding to cross-traffic when a passenger vehicle made contact with the Waymo AV's rear bumper at approximately 3 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained no damage to its front bumper. No injuries were reported."
326,Distel Drive at El Camino Real,1,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode on northbound Distel Drive at El Camino Real in Los Altos when it was rear-ended. The Waymo AV was preparing to make a right-on-red from Distel Drive onto eastbound El Camino Real and was yielding to cross-traffic when a passenger vehicle made contact with the Waymo AV’s rear bumper at approximately 1 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported."
327,Alma Street at Oregon Expressway,1,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode on the interchange from eastbound Alma Street merging onto southbound Oregon Expressway in Palo Alto when it was rear-ended. The Waymo AV was yielding to cross-traffic when a passenger vehicle made contact with the Waymo AV’s rear bumper at approximately 8 MPH. The Waymo AV sustained minor damage to the rear bumper, and the passenger vehicle sustained minor damage to its front bumper. There were no injuries reported at the scene; the Waymo test driver later reported dizziness but declined medical attention."
329,Whisman Station Drive and Central Expressway,1,"A Waymo Autonomous Vehicle (“Waymo AV”) was stopped in autonomous mode in the slip lane from southbound Whisman Station Drive to northbound Central Expressway in Mountain View when it was rear-ended. The Waymo AV was yielding to approaching traffic when a passenger vehicle made contact with the Waymo AV’s rear bumper at approximately 11 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. The Waymo AV test driver and Waymo passenger in the vehicle both reported neck pain, but declined medical treatment at the scene. No other injuries were reported."
330,Castro Street at Central Expressway,1,"A Waymo Autonomous Vehicle (“Waymo AV”) was in autonomous mode and beginning to proceed at a green traffic light to turn left from northbound Castro Street to northbound Central Expressway in Mountain View when it was rear-ended at approximately 6 MPH by a passenger vehicle. The Waymo AV sustained minor damage to the rear bumper, and the passenger vehicle left the scene without exchanging information. There were no injuries reported at the scene."
332,Embarcadero at Howard Street,1,"On December 17, 2022 at 1:50 PM PST, a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger car on Embarcadero near the intersection with Folsom Street.The Waymo AV was traveling southbound on Embarcadero in autonomous mode when it slowed and stopped for a parallel parking vehicle ahead. A passenger car following the Waymo AV made contact with the rear of the Waymo AV. At the time of impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode with a test driver present (in the driver's seating position). Both vehicles sustained damage."
334,Fulton Street and 5th Avenue,1,"On December 19, 2021 at 10:30 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger vehicle at Fulton Street and 5th Avenue.At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV was stopped facing southwest on Fulton Street while yielding to pedestrians in a crosswalk when a passenger vehicle reversed at a low speed from an adjacent driveway into the right rear bumper of the Waymo AV. Both vehicles sustained minor damage."
337,3rd Street at 24th Street,1,"A Waymo Autonomous Vehicle (“Waymo AV”) was traveling northbound on 3rd Street in San Francisco in manual mode when it was rear-ended. The Waymo AV was traveling in autonomous mode at approximately 30 MPH in the leftmost lane as it approached the intersection at 24th Street. In this location there are traffic pylons on the left edge of the leftmost lane that separate this lane from the municipal tram line that operates in the median of 3rd Street. As the Waymo AV approached the intersection, a San Francisco MUNI city bus traveling at approximately 40 MPH in the right adjacent lane began to overtake the Waymo AV from the right, while moving toward the Waymo’s lane of travel. Due to the encroaching city bus and the pylons on the left edge of the Waymo AV’s lane, the Waymo AV began to brake. The Waymo AV test driver disengaged autonomous mode and took control of the Waymo AV. Approximately 1 second later, the passenger vehicle behind the Waymo AV made contact with the Waymo AV’s rear bumper at approximately 27 MPH. The Waymo AV was traveling approximately 4 MPH. The Waymo AV sustained significant damage to its rear bumper, and the passenger vehicle sustained significant damage to its front bumper. The driver of the passenger vehicle and the Waymo AV test driver were transported to receive medical attention. The Waymo AV co-driver reported minor injuries but did not receive medical attention. Amended Sections 3 and 4."
338,Sanchez Street at 16th Street,1,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling northbound on Sanchez Street at 16th Street in San Francisco was involved in a collision. While in autonomous mode, the Waymo AV was stationary for a red light when a passenger vehicle behind the Waymo AV made contact with the Waymo AV’s rear bumper at approximately 7 MPH. The Waymo AV was traveling 0 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported at the scene."
339,Market Street at Diamond Street,1,"On June 18, 2023 at 5:06 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Market Street and Diamond Street.The Waymo AV was stopped for a red light on Market Street at Diamond Street with its turn signal activated to indicate intent to turn left onto Diamond Street. The traffic light turned green, and the Waymo AV slowly moved forward, yielding to oncoming traffic, when the vehicle that had been previously stopped behind the Waymo AV proceeded forward, making contact with the rear bumper of the Waymo AV. The other party immediately left the scene of the event. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage."
340,Parking Entrance near Brannan Street and 9th Street,1,"On June 21, 2022 at 12:21 PM PST a  Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, CA made contact with a parking lot driveway on the 900 block of Brannan Street.The Waymo AV approached a parking lot. As the Waymo AV turned left and into the parking lot, the Waymo AV's undercarriage made contact with the driveway pavement (the AV did not contact any vehicle or road user). At the time of the contact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position). The Waymo AV sustained minor undercarriage damage."
344,100 Block of Bayshore Blvd,1,"On January 3, 2021 at 9:00 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a heavy truck at the northbound merge lane on the 100 block of Bayshore Boulevard. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). While attempting a merge onto northbound Bayshore Boulevard from southbound Bayshore Boulevard, the Waymo AV came to a stop to yield for approaching traffic on the right. The Waymo AV was rear ended by the truck, causing minor damage to the right rear bumper of the Waymo AV. The truck sustained damage to the left front bumper."
347,Polk Street at Sacramento Street,1,"On January 20, 2022 at 2:24 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Polk Street at Sacramento Street.The Waymo AV was stopped at a red light facing north on Polk Street in autonomous mode at the Sacramento Street intersection. The light turned green and the Waymo AV proceeded partially into the intersection, yielding to pedestrians in the left crosswalk while preparing to make a left turn. A passenger vehicle parked behind the Waymo AV on the right shoulder of Sacramento street pulled out of the shoulder and made contact with the right side of the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present. The Waymo AV sustained minor damage."
350,Bayshore Boulevard at Jerrold Avenue,1,"On January 22, 2023 at 5:08 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Bayshore Boulevard at Jerrold Avenue.The Waymo AV was traveling north on Bayshore Boulevard when, upon entering the intersection at Jerrold Avenue, a passenger vehicle which had previously been stopped at a red light, proceeded through the red light. The passenger vehicle approached from the left and made contact with the left rear bumper of the Waymo AV. The other vehicle immediately left the scene of the collision. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained damage."
351,Noriega Street at 25th Avenue,1,"On January 28, 2022 at 8:40 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a SUV on Noriega Street at 25th Avenue.While proceeding straight on eastbound Noriega Street in autonomous mode, the Waymo AV slowed down and came to a halt at the stop sign at the intersection with 25th Avenue. As the Waymo began to proceed, a SUV approached the Waymo AV from behind and made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained moderate damage."
352,Franklin Street at Golden Gate Avenue,1,"On January 28, 2022 at 6:30 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Franklin Street at Golden Gate Avenue.The Waymo AV was stopped at a red light on northbound Franklin Street at Golden Gate Avenue. After the traffic light turned green and the Waymo AV had begun to accelerate, the passenger vehicle behind the Waymo AV struck the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage, and the trailing passenger vehicle sustained minor damage."
353,Clipper Street and Noe Street,1,"On February 2, 2022 at 8:44 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a SUV on Clipper Street and Noe Street.The Waymo AV was stopped at a stop sign facing west on Clipper Street in autonomous mode while yielding to pedestrians in the crosswalk. After the pedestrians had crossed, the Waymo started to edge forward when an SUV to the Waymo AV’s rear passed the Waymo AV by driving in the oncoming traffic lane and made contact with the left rear sensor housing of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage."
357,Coral Road at Wisconsin Street,1,"On February 9, 2022 at 3:05 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a pick-up truck on Coral Road at Wisconsin Street. The Waymo AV was traveling westbound on Coral Road in autonomous mode and came to a stop while yielding to an oncoming pick-up truck in a narrow roadway. The oncoming truck continued proceeding straight and made contact with the rear left sensor of the Waymo AV.  At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained minor damage."
361,Market Street and Valencia Street,1,"On February 11, 2022 at 5:36 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Market Street and Valencia Street.The Waymo AV was approaching stopped traffic in the left turn lane on Market Street at Valencia Street when a passenger vehicle approached from behind and made contact with the rear bumper of the Waymo AV. The other vehicle left the scene without exchanging information. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage."
362,Kansas Street at 16th Street,1,"On February 14, 2022 at 3:02 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Kansas Street at 16th Street.The Waymo AV was stopped at a red light facing north on Kansas Street at the 16th Street intersection in autonomous mode. While the traffic light was still red, the vehicle immediately behind the Waymo AV began to accelerate and made contact with the rear bumper of the Waymo AV.  At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage."
363,100 Block of Bayshore Avenue,1,"On February 19, 2022 at 7:45 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle at the northbound merge lane on the 100 block of Bayshore Boulevard. While attempting a merge onto northbound Bayshore Boulevard from southbound Bayshore Boulevard, the Waymo AV came to a stop to yield for approaching traffic on the right. While stopped, a vehicle approached from behind and made contact with the rear bumper of the Waymo AV. The other vehicle left the scene without exchanging information.  At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage."
364,Cesar Chavez and Mission Street,1,"On February 28, 2022 at 12:49 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Cesar Chavez at Mission Street.The Waymo AV was stopped at a red light facing west on Cesar Chavez at the Mission Street intersection in the left turn lane in autonomous mode. While the traffic light was still red, the vehicle immediately behind the Waymo AV began to accelerate toward the right side of the Waymo AV and made contact with the right rear bumper of the Waymo AV.  The other vehicle left the scene without exchanging information. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage."
366,Oakdale Avenue at Industrial Street,1,"A Waymo Autonomous Vehicle (“Waymo AV”) traveling eastbound in autonomous mode on Oakdale Avenue approaching Industrial Street in San Francisco was involved in a collision. The Waymo AV was coming to a stop at a stop sign intersection on Oakdale Avenue at Industrial Street when a passenger vehicle behind the Waymo AV made contact with the Waymo AV’s rear bumper at approximately 20 MPH. The Waymo AV was traveling approximately 1 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported at the scene; the Waymo AV test driver sought medical attention from urgent care the following day."
369,Irving Street at 25th Avenue,1,"On March 9, 2022 at 12:22 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger vehicle on Irving Street at 25th Avenue. The Waymo AV was stopped in traffic, eastbound on Irving Street in autonomous mode. A parked car to the right of the Waymo AV began reversing into the street and made contact with the rear right side of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained minor damage."
371,Cesar Chavez Street at Mission Street,1,"On March 12, 2023 at 9:28 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on Cesar Chavez Street at Mission Street.The Waymo AV was stopped in the dedicated left turn lane facing west on Cesar Chavez Street, awaiting a green signal to turn onto Mission Street. The signal for traffic proceeding west on Cesar Chavez Street turned green, and traffic in adjacent lanes began moving. The left turn arrow signal for the dedicated turn lane occupied by the Waymo AV remained red. The passenger car that had been stopped directly behind the Waymo AV began moving forward. The front of the passenger car made contact with the rear of the Waymo AV.At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The passenger car sustained minor damage."
372,"Exit Ramp 43A, Interstate 280",1,"On March 16, 2023 at 2:19 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Bruno, CA was in a collision involving road debris on Interstate 280 at the interchange ramp for Interstate 380 (Exit 43A). The Waymo AV was traveling south on Interstate 280 in the rightmost exit lane for Exit 43A towards Interstate 380 when it made contact with road debris (tire scrap). At the time of the impact, the Waymo AV’s Level 4 ADS was (engaged in autonomous mode, and a test driver was present (in the driver’s seating position). The Waymo AV sustained damage."
374,Oakdale Avenue and Toland Street,1,"On March 26, 2022 at 1:16 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a SUV on Oakdale Avenue and Toland Street.The Waymo AV was slowing for a stop sign while traveling westbound on Oakdale Avenue in autonomous mode. An SUV approached from behind and made contact with the rear of the Waymo AV. The other party immediately left the scene of the event. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained moderate damage."
375,1000 block of Potrero Avenue,1,"On March 31, 2022 at 11:07 AM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving an SUV on the 1000 block of Potrero Avenue. The Waymo AV was stopped at a red traffic light on southbound Potrero Avenue when a pedestrian entered the crosswalk. When the traffic light turned green, the Waymo AV remained stopped for a crossing pedestrian who had just reached the pedestrian island in the middle of the crosswalk. After a brief pause, the ADV started to proceed, when the SUV behind the Waymo AV then made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained minor damage."
377,Quintara Street and 20th Avenue,1,"On April 5, 2022 at 7:55 PM PST a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, CA was in a collision involving a passenger car on Quintara Street at 20th Avenue.The Waymo AV came to a stop at a stop sign on Quintara Street at 20th Avenue, and as it was about to proceed, a passenger vehicle behind the Waymo AV then made contact with the rear of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained minor damage."
